NID,Titre,URL,Organization,Produit,Problème,"Ce que vous devriez faire",Catégorie,"Classe de rappel","Dernière mise à jour",Archivé
82188,"Numéro de rappel de Transports Canada - 2026253 - TRUCK MASTER MANUFACTURING & EQUIPMENT LTD.",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026253-truck-master-manufacturing-equipment-ltd,TC,"Camion - usage moyen et usage intensif rappelé par TRUCK MASTER MANUFACTURING & EQUIPMENT LTD.",Étiquette,,"Châssis-cabine - Camion - usage moyen et usage intensif",,2026-06-08,0
82189,"Numéro de rappel de Transports Canada - 2026255 - FOREST RIVER",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026255-forest-river,TC,"Caravane rappelé par FOREST RIVER",Suspension,,Caravane,,2026-06-08,0
82190,"Numéro de rappel de Transports Canada - 2026258 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026258-ford,TC,"Camionnette et fourgonnette rappelé par FORD",Moteur,,"Véhicule utilitaire-sport - Camionnette et fourgonnette",,2026-06-08,0
82191,"Numéro de rappel de Transports Canada - 2026259 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026259-ford,TC,"Véhicule utilitaire-sport rappelé par FORD",Suspension,,"Véhicule utilitaire-sport - Camionnette et fourgonnette",,2026-06-08,0
82192,"Numéro de rappel de Transports Canada - 2026276 - GRAND DESIGN RV",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026276-grand-design-rv,TC,"Caravane rappelé par GRAND DESIGN RV",Suspension,,Caravane,,2026-06-08,0
81423,"Rappel de produits Tako Wasabi en raison de la présence non déclarée de poisson",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-produits-tako-wasabi-en-raison-presence-non-declaree-poisson,ACIA,"Poulpe assaisonné avec sauce wasabi (Tako Wasabi), Tako Wasabi - Poulpe à la saveur de wasabi",Poisson,"Vérifiez si vous avez des produits visés par un rappel.Ne consommez pas des produits visés par un rappel et auxquels vous êtes allergique ou sensible puisqu’ils pourraient entraîner une réaction grave, voire mortelle.Des produits visés par un rappel ne doivent pas être utilisés, vendus, servis ou distribués.Des produits visés par un rappel devraient être jetés ou rapportés au lieu où ils ont été achetés.En savoir plus :Renseignez-vous davantage sur les allergies les plus courantesAbonnez-vous aux avis de rappel par courriel, suivez-nous dans les médias sociauxVenez voir notre explication détaillée du processus d'enquête sur la salubrité alimentaire et de rappel d'alimentsSignalez un incident lié à la salubrité ou l'étiquetage d'un aliment",Transformés,"Classe 1",2026-06-05,0
82150,"Viseur laser Steambow Archery de la série AR (vert) rappelé en raison d’un risque de lésion oculaire ",https://recalls-rappels.canada.ca/fr/avis-rappel/viseur-laser-steambow-archery-serie-ar-vert-rappele-en-raison-risque-lesion-oculaire,"Sécurité des produits de consommation","Viseur laser Steambow Archery de la série AR","Risque de blessure","Cesser immédiatement d’utiliser le produit rappelé et le retourner au Leapfrog Outdoor Sports and Apparel pour obtenir un remboursement.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Leapfrog Outdoor Sports and Apparel, par téléphone au 587-486-0563, du mardi au vendredi, de 10&nbsp;h à 17&nbsp;h (heure normale des Rocheuses),&nbsp;par courriel au&nbsp;info@leapfrogoutdoor.ca ou consulter le site Web de l’entreprise.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Produits électroniques",,2026-06-05,0
82151,"Store enrouleur HJ rappelé en raison d'un risque d'étranglement ",https://recalls-rappels.canada.ca/fr/avis-rappel/store-enrouleur-hj-rappele-en-raison-risque-etranglement,"Sécurité des produits de consommation","Store enrouleur","Risque d’étranglement","Les consommateurs devraient&nbsp;immédiatement d’utiliser le produit rappelé, le garder hors de la portée des enfants et l'éliminer ou le retourner à Panda Mart pour obtenir un remboursement.&nbsp;&nbsp;&nbsp;Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec&nbsp;Panda Mart&nbsp;par téléphone&nbsp;au&nbsp;(416) 757-5557,&nbsp;de 9 h à 21 h&nbsp;du&nbsp;lundi au dimanche,&nbsp;par courriel au&nbsp;info@pandamartcanada.ca,&nbsp;ou consulter le&nbsp;site Web de l’entreprise.&nbsp;&nbsp;Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.&nbsp;Santé Canada incite les&nbsp;consommateurs&nbsp;à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le&nbsp;formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le&nbsp;site du Portail global de l'OCDE sur les rappels de produits,&nbsp;qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Articles de maison",,2026-06-05,0
82162,"Safrax ODOR-CLO2 Élimination des odeurs de dioxyde de chlore rappelé en raison d’un étiquetage inapproprié et de l'absence d'un emballage protège-enfant",https://recalls-rappels.canada.ca/fr/avis-rappel/safrax-odor-clo2-elimination-odeurs-dioxyde-chlore-rappele-en-raison-etiquetage,"Sécurité des produits de consommation","Safrax ODOR-CLO2 Élimination des odeurs de dioxyde de chlore","Étiquetage et conditionnement (emballage)","Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et l'éliminer conformément aux directives municipales sur les déchets dangereux. Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Utopia Distribute par téléphone au 647-647-4597, de 9h à 17h HE, lundi à vendredi ou par courriel au contact@utopiadistribute.com. Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Substances chimiques",,2026-06-05,0
82163,"L'ensemble shampooing et revitalisant Renpure Tea Tree & Rosemary Refresh and Rebalance rappelé en raison de contamination microbienne",https://recalls-rappels.canada.ca/fr/avis-rappel/ensemble-shampooing-et-revitalisant-renpure-tea-tree-rosemary-refresh-and-rebalance,"Sécurité des produits de consommation","L'ensemble shampooing et revitalisant Renpure Tea Tree & Rosemary Refresh and Rebalance","Risque microbien","Les consommateurs devraient cesser immédiatement d'utiliser le produit rappelé et le retourner à un revendeur agréé Costco Wholesale Canada pour obtenir un remboursement.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec MAV Beauty Brands par téléphone au 1-888-974-9039 de 9h à 17h, lundi au vendredi, ou par courriel au info@renpure.com.Veuillez noter qu'en plus des exigences du Règlement sur les cosmétiques, la Loi sur les aliments et drogues (LAD) interdit la vente de cosmétiques qui sont faits de substances dangereuses ou dans des conditions non hygiéniques, aux utilisateurs au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Cosmétiques et produits de soins personnels",,2026-06-05,0
82165,"Marchepied de cuisine pour enfants Cosyland rappelé en raison de risques de chute et de coincement",https://recalls-rappels.canada.ca/fr/avis-rappel/marchepied-cuisine-pour-enfants-cosyland-rappele-en-raison-risques-chute-et-coincement,"Sécurité des produits de consommation","Marchepied de cuisine pour enfants Cosyland","Produits de consommation","Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé, le garder hors de la portée des enfants et communiquer avec Wan Yi pour obtenir des pièces de réparation incluant des filets protecteurs, des pattes stabilisatrices et des instructions d’installation. L’entreprise fera parvenir les pièces de réparation directement aux consommateurs, sans frais.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Wan Yi par téléphone au 866-677-3889, de 9h à 17h HE du lundi au vendredi, par courriel au&nbsp;customerservice-ca@cosyland.com ou consulter le site Web de l’entreprise à https://cosyland.com/en-ca/pages/recall ou&nbsp;www.cosyland.com&nbsp;et cliquer sur “Product Recalls” en haut de la page pour obtenir plus d’information.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Mobilier et ameublement",,2026-06-05,0
82177,"Numéro de rappel de Transports Canada - 2026247 - KZ  RECREATIONAL VEHICLES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026247-kz-recreational-vehicles,TC,"Caravane rappelé par KZ  RECREATIONAL VEHICLES",Suspension,,Caravane,,2026-06-05,0
82178,"Numéro de rappel de Transports Canada - 2026251 - HONDA",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026251-honda,TC,"Voiture rappelé par HONDA","Sièges et dispositifs de retenue",,"Minifourgonnette - Camionnette et fourgonnette - Véhicule utilitaire-sport - Voiture",,2026-06-05,0
81852,"Numéro de rappel de Transports Canada - 2026137 - NOVA BUS",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026137-nova-bus,TC,"Autobus rappelé par NOVA BUS","Sièges et dispositifs de retenue",,Autobus,,2026-06-04,0
82139,"Caméra solaire panoramique Wyze rappelée en raison de risques de brûlure et d’incendie",https://recalls-rappels.canada.ca/fr/avis-rappel/camera-solaire-panoramique-wyze-rappelee-en-raison-risques-brulure-et-incendie,"Sécurité des produits de consommation","Caméra solaire panoramique Wyze","Risque de brûlure - Risque d’incendie","Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et visiter le site Web de Wyze Labs Inc (en anglais seulement) pour connaître le processus de remboursement de l'entreprise.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Wyze Labs, Inc. par téléphone sans frais au 1-888-832-7226 de 8h00 à 18h00 HNP du lundi au vendredi, par courriel à recall@wyze.com ou visiter le site Web de l’entreprise (en anglais seulement).Avis de rappel conjoint de Santé Canada, de la Commission américaine de surveillance des produits de consommation (CPSC) et de Wyze Labs Inc.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Produits audiovisuels et de photographie",,2026-06-04,0
82149,"Radiateur tour SRTH pour petites pièces ​​Vornado rappelé en raison d'un risque d'incendie",https://recalls-rappels.canada.ca/fr/avis-rappel/radiateur-tour-srth-pour-petites-pieces-vornado-rappele-en-raison-risque-incendie,"Sécurité des produits de consommation","Radiateur tour SRTH pour petites pièces Vornado","Risque d’incendie","Les consommateurs devraient&nbsp;immédiatement d’utiliser le produit rappelé et le retourner à&nbsp;Vornado&nbsp;Air pour obtenir un remboursement.&nbsp;Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec&nbsp;Vornado&nbsp;Air&nbsp;par téléphone&nbsp;au&nbsp;1-888-240-2768,&nbsp;de 8 h à 17 h&nbsp;HC,&nbsp;du&nbsp;lundi au vendredi,&nbsp;par courriel&nbsp;au srthrecall@vornado.com,&nbsp;ou consulter le&nbsp;site Web de l’entreprise.Avis de rappel conjoint de Santé Canada, de la Commission américaine de surveillance des produits de consommation (CPSC) et de&nbsp;Vornado&nbsp;Air.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les&nbsp;consommateurs&nbsp;à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le&nbsp;formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le&nbsp;site du Portail global de l'OCDE sur les rappels de produits,&nbsp;qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Produits électroniques",,2026-06-04,0
82160,"Giraffe™ OmniBed™ Carestation™",https://recalls-rappels.canada.ca/fr/avis-rappel/giraffetm-omnibedtm-carestationtm,"Instruments médicaux","Giraffe™ OmniBed™ Carestation™",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2026-06-04,0
82161,"Systèmes Allura Xper de Philips",https://recalls-rappels.canada.ca/fr/avis-rappel/systemes-allura-xper-philips,"Instruments médicaux","Systèmes Allura Xper de Philips",Rendement,,"Matériel de radiologie","Type II",2026-06-04,0
82164,"Système de valve transcathéter Harmony™",https://recalls-rappels.canada.ca/fr/avis-rappel/systeme-valve-transcatheter-harmonytm,"Instruments médicaux","Système de valve transcathéter Harmony™",Rendement,,"Matériel cardiovasculaire","Type II",2026-06-04,0
82175,"Numéro de rappel de Transports Canada - 2026250 - NISSAN",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026250-nissan,TC,"Véhicule utilitaire-sport rappelé par NISSAN","Feux et instruments",,"Véhicule utilitaire-sport",,2026-06-04,0
82176,"Numéro de rappel de Transports Canada - 2026254 - TIFFIN",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026254-tiffin,TC,"Autocaravane rappelé par TIFFIN",Étiquette,,Autocaravane,,2026-06-04,0
82143,"Numéro de rappel de Transports Canada - 2026229 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2026229-ford,TC,"Véhicule utilitaire-sport rappelé par FORD",Structure,,"Véhicule utilitaire-sport",,2026-06-03,0
82148,"Oster Kool-Lube et Oster Blade Wash rappelé en raison d’un étiquetage inapproprié",https://recalls-rappels.canada.ca/fr/avis-rappel/oster-kool-lube-et-oster-blade-wash-rappele-en-raison-etiquetage-inapproprie,"Sécurité des produits de consommation","Oster Kool-Lube et Oster Blade Wash","Étiquetage et conditionnement (emballage)","Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et l'éliminer conformément aux directives municipales sur les déchets dangereux.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Sunbeam Products Inc par téléphone au 1-800-667-5626 de&nbsp;9h&nbsp;à&nbsp;17h&nbsp;HNE,&nbsp;lundi au vendredi, sur le site web de l'entreprise&nbsp;ou consulter le&nbsp;http://www.osterpro.com&nbsp;et cliquez sur « Product Recalls » en haut de la page pour plus d’informations.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Substances chimiques",,2026-06-03,0
